ordernumber,quantityordered,priceeach,orderlinenumber,sales,orderdate,days_since_lastorder,status,productline,msrp,productcode,customername,phone,addressline1,city,postalcode,country,contactlastname,contactfirstname,dealsize
10310,24,129.18,8,3100.32,2019-10-16,520,shipped,classic cars,117,s12_3380,"toms spezialitten, ltd",0221-5554327,mehrheimerstr. 369,koln,50739,germany,pfalzheim,henriette,medium
10320,35,138.58,1,4850.3,2019-11-03,503,shipped,classic cars,117,s12_3380,"volvo model replicas, co",0921-12 3555,berguvsvgen  8,lule,s-958 22,sweden,berglund,christina,medium
10329,46,83.63,13,3846.98,2019-11-15,492,shipped,classic cars,117,s12_3380,land of toys inc.,2125557818,897 long airport avenue,nyc,10022,usa,yu,kwai,medium
10341,44,95.93,1,4220.92,2019-11-24,484,shipped,classic cars,117,s12_3380,salzburg collectables,6562-9555,geislweg 14,salzburg,5020,austria,pipps,georg,medium
10363,34,96.73,4,3288.82,2020-01-06,442,shipped,classic cars,117,s12_3380,suominen souveniers,+358 9 8045 555,"software engineering center, sec oy",espoo,fin-02271,finland,suominen,kalle,medium
10376,35,113.92,1,3987.2,2020-02-08,410,shipped,classic cars,117,s12_3380,boards & toys co.,3105552373,4097 douglas av.,glendale,92561,usa,young,leslie,medium
10389,25,72.38,6,1809.5,2020-03-03,387,shipped,classic cars,117,s12_3380,scandinavian gift ideas,0695-34 6555,?kergatan 24,boras,s-844 67,sweden,larsson,maria,small
10419,10,109.22,11,1092.2,2020-05-17,313,shipped,classic cars,117,s12_3380,salzburg collectables,6562-9555,geislweg 14,salzburg,5020,austria,pipps,georg,small
10105,29,157.45,14,4566.05,2018-02-11,1140,shipped,classic cars,173,s12_3891,danish wholesale imports,31 12 3555,vinb'ltet 34,kobenhavn,1734,denmark,petersen,jytte,medium
10117,39,152.26,8,5938.14,2018-04-16,1077,shipped,classic cars,173,s12_3891,"dragon souveniers, ltd.",+65 221 7555,"bronz sok., bronz apt. 3/6 tesvikiye",singapore,79903,singapore,natividad,eric,medium
10127,42,193.78,1,8138.76,2018-06-03,1030,shipped,classic cars,173,s12_3891,muscle machine inc,2125557413,4092 furth circle,nyc,10022,usa,young,jeff,large
10142,46,205.89,11,9470.94,2018-08-08,965,shipped,classic cars,173,s12_3891,mini gifts distributors ltd.,4155551450,5677 strong st.,san rafael,97562,usa,nelson,valarie,large
10153,49,143.61,10,7036.89,2018-09-28,915,shipped,classic cars,173,s12_3891,euro shopping channel,(91) 555 94 44,"c/ moralzarzal, 86",madrid,28034,spain,freyre,diego,large
10165,27,205.89,2,5559.03,2018-10-22,892,shipped,classic cars,173,s12_3891,"dragon souveniers, ltd.",+65 221 7555,"bronz sok., bronz apt. 3/6 tesvikiye",singapore,79903,singapore,natividad,eric,medium
10176,50,157.45,1,7872.5,2018-11-06,878,shipped,classic cars,173,s12_3891,l'ordine souveniers,0522-556555,strada provinciale 124,reggio emilia,42100,italy,moroni,maurizio,large
10185,43,183.4,12,7886.2,2018-11-14,871,shipped,classic cars,173,s12_3891,mini creations ltd.,5085559555,4575 hillside dr.,new bedford,50553,usa,tam,wing c,large
10196,38,190.32,4,7232.16,2018-11-26,860,shipped,classic cars,173,s12_3891,super scale inc.,2035559545,567 north pendale street,new haven,97823,usa,murphy,leslie,large
10208,20,155.72,12,3114.4,2019-01-02,824,shipped,classic cars,173,s12_3891,"saveley & henriot, co.",78.32.5555,"2, rue du commerce",lyon,69004,france,saveley,mary,medium
10220,27,186.86,1,5045.22,2019-02-12,784,shipped,classic cars,173,s12_3891,"clover collections, co.",+353 1862 1555,25 maiden lane,dublin,2,ireland,cassidy,dean,medium
10231,49,141.88,1,6952.12,2019-03-19,750,shipped,classic cars,173,s12_3891,caf imports,+34 913 728 555,"merchants house, 27-30 merchant's quay",madrid,28023,spain,fernandez,jesus,medium
10247,27,153.99,1,4157.73,2019-05-05,704,shipped,classic cars,173,s12_3891,suominen souveniers,+358 9 8045 555,"software engineering center, sec oy",espoo,fin-02271,finland,suominen,kalle,medium
10272,39,204.16,1,7962.24,2019-07-20,629,shipped,classic cars,173,s12_3891,diecast classics inc.,2155551555,7586 pompton st.,allentown,70267,usa,yu,kyung,large
10282,24,157.45,4,3778.8,2019-08-20,599,shipped,classic cars,173,s12_3891,mini gifts distributors ltd.,4155551450,5677 strong st.,san rafael,97562,usa,nelson,valarie,medium
10293,45,183.4,7,8253.0,2019-09-09,580,shipped,classic cars,173,s12_3891,amica models & co.,011-4988555,via monte bianco 34,torino,10100,italy,accorti,paolo,large
10306,20,181.67,12,3633.4,2019-10-14,546,shipped,classic cars,173,s12_3891,"av stores, co.",(171) 555-1555,fauntleroy circus,manchester,ec2 5nt,uk,ashworth,victoria,medium
10314,36,192.05,4,6913.8,2019-10-22,539,shipped,classic cars,173,s12_3891,heintze collectables,86 21 3555,smagsloget 45,aaarhus,8200,denmark,ibsen,palle,medium
10325,24,107.65,1,2583.6,2019-11-05,526,shipped,classic cars,173,s12_3891,baane mini imports,07-98 9555,erling skakkes gate 78,stavern,4110,norway,bergulfsen,jonas,small
10336,49,63.38,1,3105.62,2019-11-20,512,shipped,classic cars,173,s12_3891,"la corne d'abondance, co.",(1) 42.34.2555,"265, boulevard charonne",paris,75012,france,bertrand,marie,medium
10349,26,169.56,10,4408.56,2019-12-01,502,shipped,classic cars,173,s12_3891,muscle machine inc,2125557413,4092 furth circle,nyc,10022,usa,young,jeff,medium
10359,49,62.09,5,3042.41,2019-12-15,489,shipped,classic cars,173,s12_3891,reims collectables,26.47.1555,59 rue de l'abbaye,reims,51100,france,henriot,paul,medium
10372,34,174.75,1,5941.5,2020-01-26,448,shipped,classic cars,173,s12_3891,"tokyo collectables, ltd",+81 3 3584 0555,2-2-8 roppongi,minato-ku,106-0032,japan,shimamura,akiko,medium
10382,34,95.35,12,3241.9,2020-02-17,427,shipped,classic cars,173,s12_3891,mini gifts distributors ltd.,4155551450,5677 strong st.,san rafael,97562,usa,nelson,valarie,medium
10396,33,185.13,3,6109.29,2020-03-23,393,shipped,classic cars,173,s12_3891,mini gifts distributors ltd.,4155551450,5677 strong st.,san rafael,97562,usa,nelson,valarie,medium
10413,22,153.99,1,3387.78,2020-05-05,351,shipped,classic cars,173,s12_3891,gift depot inc.,2035552570,25593 south bay ln.,bridgewater,97562,usa,king,julie,medium
10108,39,89.38,7,3485.82,2018-03-03,1146,shipped,classic cars,79,s12_3990,cruz & sons co.,+63 2 555 3587,15 mccallum street - natwest center #13-03,makati city,1227 mm,philippines,cruz,arnold,medium
10122,32,63.84,11,2042.88,2018-05-08,1081,shipped,classic cars,79,s12_3990,marseille mini autos,91.24.4555,"12, rue des bouchers",marseille,13008,france,lebihan,laurence,small
10135,24,75.01,8,1800.24,2018-07-02,1027,shipped,classic cars,79,s12_3990,mini gifts distributors ltd.,4155551450,5677 strong st.,san rafael,97562,usa,nelson,valarie,small
10147,21,63.84,8,1340.64,2018-09-05,963,shipped,classic cars,79,s12_3990,collectables for less inc.,6175558555,7825 douglas av.,brickhaven,58339,usa,nelson,allen,small
10169,36,63.84,3,2298.24,2018-11-04,904,shipped,classic cars,79,s12_3990,"anna's decorations, ltd",02 9936 8555,201 miller street,north sydney,2060,australia,o'hara,anna,small
10181,20,81.4,15,1628.0,2018-11-12,897,shipped,classic cars,79,s12_3990,herkku gifts,+47 2267 3215,"drammen 121, pr 744 sentrum",bergen,n 5804,norway,oeztan,veysel,small
10191,30,64.64,4,1939.2,2018-11-20,890,shipped,classic cars,79,s12_3990,"toms spezialitten, ltd",0221-5554327,mehrheimerstr. 369,koln,50739,germany,pfalzheim,henriette,small
10203,44,82.99,9,3651.56,2018-12-02,879,shipped,classic cars,79,s12_3990,euro shopping channel,(91) 555 94 44,"c/ moralzarzal, 86",madrid,28034,spain,freyre,diego,medium
10211,28,92.57,3,2591.96,2019-01-15,836,shipped,classic cars,79,s12_3990,auto canal petit,(1) 47.55.6555,"25, rue lauriston",paris,75016,france,perrier,dominique,small
10225,37,77.41,10,2864.17,2019-02-22,799,shipped,classic cars,79,s12_3990,"vida sport, ltd",0897-034555,grenzacherweg 237,gensve,1203,switzerland,holz,michael,small
10238,20,74.21,4,1484.2,2019-04-09,754,shipped,classic cars,79,s12_3990,danish wholesale imports,31 12 3555,vinb'ltet 34,kobenhavn,1734,denmark,petersen,jytte,small
10253,25,90.17,14,2254.25,2019-06-01,702,cancelled,classic cars,79,s12_3990,"uk collectables, ltd.",(171) 555-2282,berkeley gardens 12  brewery,liverpool,wx1 6lt,uk,devon,elizabeth,small
10266,35,76.61,15,2681.35,2019-07-06,668,shipped,classic cars,79,s12_3990,l'ordine souveniers,0522-556555,strada provinciale 124,reggio emilia,42100,italy,moroni,maurizio,small
10276,38,83.79,4,3184.02,2019-08-02,642,shipped,classic cars,79,s12_3990,online mini collectables,6175557555,7635 spinnaker dr.,brickhaven,58339,usa,barajas,miguel,medium
10287,41,69.43,13,2846.63,2019-08-30,615,shipped,classic cars,79,s12_3990,"vida sport, ltd",0897-034555,grenzacherweg 237,gensve,1203,switzerland,holz,michael,small
10300,22,76.61,6,1685.42,2018-10-04,946,shipped,classic cars,79,s12_3990,"blauer see auto, co.",+49 69 66 90 2555,lyonerstr. 34,frankfurt,60528,germany,keitel,roland,small
10310,49,81.4,11,3988.6,2019-10-16,570,shipped,classic cars,79,s12_3990,"toms spezialitten, ltd",0221-5554327,mehrheimerstr. 369,koln,50739,germany,pfalzheim,henriette,medium
10320,38,73.42,4,2789.96,2019-11-03,553,shipped,classic cars,79,s12_3990,"volvo model replicas, co",0921-12 3555,berguvsvgen  8,lule,s-958 22,sweden,berglund,christina,small
10329,33,109.32,14,3607.56,2019-11-15,542,shipped,classic cars,79,s12_3990,land of toys inc.,2125557818,897 long airport avenue,nyc,10022,usa,yu,kwai,medium
10341,36,93.56,10,3368.16,2019-11-24,534,shipped,classic cars,79,s12_3990,salzburg collectables,6562-9555,geislweg 14,salzburg,5020,austria,pipps,georg,medium
10363,34,81.62,5,2775.08,2020-01-06,492,shipped,classic cars,79,s12_3990,suominen souveniers,+358 9 8045 555,"software engineering center, sec oy",espoo,fin-02271,finland,suominen,kalle,small
10377,24,67.83,5,1627.92,2020-02-09,459,shipped,classic cars,79,s12_3990,"toys of finland, co.",90-224 8555,keskuskatu 45,helsinki,21240,finland,karttunen,matti,small
10389,36,70.26,7,2529.36,2020-03-03,437,shipped,classic cars,79,s12_3990,scandinavian gift ideas,0695-34 6555,?kergatan 24,boras,s-844 67,sweden,larsson,maria,small
10419,34,90.17,14,3065.78,2020-05-17,363,shipped,classic cars,79,s12_3990,salzburg collectables,6562-9555,geislweg 14,salzburg,5020,austria,pipps,georg,medium
10104,41,112.58,9,4615.78,2018-01-31,1201,shipped,trucks and buses,118,s12_4473,euro shopping channel,(91) 555 94 44,"c/ moralzarzal, 86",madrid,28034,spain,freyre,diego,medium
10115,46,124.43,5,5723.78,2018-04-04,1139,shipped,trucks and buses,118,s12_4473,classic legends inc.,2125558493,5905 pompton st.,nyc,10022,usa,hernandez,maria,medium
10127,24,106.65,11,2559.6,2018-06-03,1080,shipped,trucks and buses,118,s12_4473,muscle machine inc,2125557413,4092 furth circle,nyc,10022,usa,young,jeff,small
10141,21,101.91,5,2140.11,2018-08-01,1022,shipped,trucks and buses,118,s12_4473,suominen souveniers,+358 9 8045 555,"software engineering center, sec oy",espoo,fin-02271,finland,suominen,kalle,small
10151,24,138.65,3,3327.6,2018-09-21,972,shipped,trucks and buses,118,s12_4473,"oulu toy supplies, inc.",981-443655,torikatu 38,oulu,90110,finland,koskitalo,pirkko,medium
10165,48,142.2,12,6825.6,2018-10-22,942,shipped,trucks and buses,118,s12_4473,"dragon souveniers, ltd.",+65 221 7555,"bronz sok., bronz apt. 3/6 tesvikiye",singapore,79903,singapore,natividad,eric,medium
10175,26,136.28,1,3543.28,2018-11-06,928,shipped,trucks and buses,118,s12_4473,"stylish desk decors, co.",(171) 555-0297,35 king george,london,wx3 6fw,uk,brown,ann,medium
10184,37,122.06,6,4516.22,2018-11-14,921,shipped,trucks and buses,118,s12_4473,"iberia gift imports, corp.",(95) 555 82 82,"c/ romero, 33",sevilla,41101,spain,roel,jose pedro,medium
10195,49,131.54,6,6445.46,2018-11-25,911,shipped,trucks and buses,118,s12_4473,mini classics,9145554562,3758 north pendale street,white plains,24067,usa,frick,steve,medium
10207,34,99.54,7,3384.36,2018-12-09,898,shipped,trucks and buses,118,s12_4473,diecast collectables,6175552555,6251 ingle ln.,boston,51003,usa,franco,valarie,medium
10219,48,101.91,2,4891.68,2019-02-10,836,shipped,trucks and buses,118,s12_4473,signal collectibles ltd.,4155554312,2793 furth circle,brisbane,94217,usa,taylor,sue,medium
10229,36,125.61,1,4521.96,2019-03-11,808,shipped,trucks and buses,118,s12_4473,mini gifts distributors ltd.,4155551450,5677 strong st.,san rafael,97562,usa,nelson,valarie,medium
10246,46,110.21,5,5069.66,2019-05-05,754,shipped,trucks and buses,118,s12_4473,euro shopping channel,(91) 555 94 44,"c/ moralzarzal, 86",madrid,28034,spain,freyre,diego,medium
10259,46,142.2,4,6541.2,2019-06-15,714,shipped,trucks and buses,118,s12_4473,handji gifts& co,+65 224 1555,village close - 106 linden road sandown,singapore,69045,singapore,victorino,wendy,medium
10271,31,97.17,5,3012.27,2019-07-20,680,shipped,trucks and buses,118,s12_4473,mini gifts distributors ltd.,4155551450,5677 strong st.,san rafael,97562,usa,nelson,valarie,medium
10281,41,127.98,1,5247.18,2019-08-19,651,shipped,trucks and buses,118,s12_4473,diecast classics inc.,2155551555,7586 pompton st.,allentown,70267,usa,yu,kyung,medium
10292,21,105.47,8,2214.87,2019-09-08,632,shipped,trucks and buses,118,s12_4473,land of toys inc.,2125557818,897 long airport avenue,nyc,10022,usa,yu,kwai,small
10305,38,125.61,5,4773.18,2019-10-13,598,shipped,trucks and buses,118,s12_4473,marta's replicas co.,6175558555,39323 spinnaker dr.,cambridge,51247,usa,hernandez,marta,medium
10314,45,137.46,14,6185.7,2019-10-22,590,shipped,trucks and buses,118,s12_4473,heintze collectables,86 21 3555,smagsloget 45,aaarhus,8200,denmark,ibsen,palle,medium
10324,26,58.38,7,1517.88,2019-11-05,577,shipped,trucks and buses,118,s12_4473,vitachrome inc.,2125551500,2678 kingston rd.,nyc,10022,usa,frick,michael,small
10336,38,167.7,3,6372.6,2019-11-20,563,shipped,trucks and buses,118,s12_4473,"la corne d'abondance, co.",(1) 42.34.2555,"265, boulevard charonne",paris,75012,france,bertrand,marie,medium
10349,48,109.02,9,5232.96,2019-12-01,553,shipped,trucks and buses,118,s12_4473,muscle machine inc,2125557413,4092 furth circle,nyc,10022,usa,young,jeff,medium
10358,42,64.16,9,2694.72,2019-12-10,545,shipped,trucks and buses,118,s12_4473,euro shopping channel,(91) 555 94 44,"c/ moralzarzal, 86",madrid,28034,spain,freyre,diego,small
10371,49,35.71,4,1749.79,2020-01-23,502,shipped,trucks and buses,118,s12_4473,mini gifts distributors ltd.,4155551450,5677 strong st.,san rafael,97562,usa,nelson,valarie,small
10382,32,66.58,13,2130.56,2020-02-17,478,shipped,trucks and buses,118,s12_4473,mini gifts distributors ltd.,4155551450,5677 strong st.,san rafael,97562,usa,nelson,valarie,small
10412,54,110.21,5,5951.34,2020-05-03,403,shipped,trucks and buses,118,s12_4473,euro shopping channel,(91) 555 94 44,"c/ moralzarzal, 86",madrid,28034,spain,freyre,diego,medium
10425,33,142.2,4,4692.6,2020-05-31,376,in process,trucks and buses,118,s12_4473,la rochelle gifts,40.67.8555,"67, rue des cinquante otages",nantes,44000,france,labrune,janine,medium
10108,36,103.64,3,3731.04,2018-03-03,1197,shipped,classic cars,115,s12_4675,cruz & sons co.,+63 2 555 3587,15 mccallum street - natwest center #13-03,makati city,1227 mm,philippines,cruz,arnold,medium
10122,20,107.1,7,2142.0,2018-05-08,1132,shipped,classic cars,115,s12_4675,marseille mini autos,91.24.4555,"12, rue des bouchers",marseille,13008,france,lebihan,laurence,small
10135,29,97.89,4,2838.81,2018-07-02,1078,shipped,classic cars,115,s12_4675,mini gifts distributors ltd.,4155551450,5677 strong st.,san rafael,97562,usa,nelson,valarie,small
10147,33,97.89,4,3230.37,2018-09-05,1014,shipped,classic cars,115,s12_4675,collectables for less inc.,6175558555,7825 douglas av.,brickhaven,58339,usa,nelson,allen,medium
10170,41,107.1,3,4391.1,2018-11-04,955,shipped,classic cars,115,s12_4675,mini auto werke,7675-3555,kirchgasse 6,graz,8010,austria,mendel,roland,medium
10181,36,124.37,11,4477.32,2018-11-12,948,shipped,classic cars,115,s12_4675,herkku gifts,+47 2267 3215,"drammen 121, pr 744 sentrum",bergen,n 5804,norway,oeztan,veysel,medium
10192,27,131.28,16,3544.56,2018-11-20,941,shipped,classic cars,115,s12_4675,online diecast creations co.,6035558647,2304 long airport avenue,nashua,62005,usa,young,valarie,medium
10203,47,110.55,5,5195.85,2018-12-02,930,shipped,classic cars,115,s12_4675,euro shopping channel,(91) 555 94 44,"c/ moralzarzal, 86",madrid,28034,spain,freyre,diego,medium
10212,33,126.68,15,4180.44,2019-01-16,886,shipped,classic cars,115,s12_4675,euro shopping channel,(91) 555 94 44,"c/ moralzarzal, 86",madrid,28034,spain,freyre,diego,medium
10225,21,127.83,6,2684.43,2019-02-22,850,shipped,classic cars,115,s12_4675,"vida sport, ltd",0897-034555,grenzacherweg 237,gensve,1203,switzerland,holz,michael,small
10239,21,93.28,5,1958.88,2019-04-12,802,shipped,classic cars,115,s12_4675,"oulu toy supplies, inc.",981-443655,torikatu 38,oulu,90110,finland,koskitalo,pirkko,small
10253,41,119.77,10,4910.57,2019-06-01,753,cancelled,classic cars,115,s12_4675,"uk collectables, ltd.",(171) 555-2282,berkeley gardens 12  brewery,liverpool,wx1 6lt,uk,devon,elizabeth,medium
10266,40,111.71,11,4468.4,2019-07-06,719,shipped,classic cars,115,s12_4675,l'ordine souveniers,0522-556555,strada provinciale 124,reggio emilia,42100,italy,moroni,maurizio,medium
10277,28,111.71,1,3127.88,2019-08-04,691,shipped,classic cars,115,s12_4675,"dragon souveniers, ltd.",+65 221 7555,"bronz sok., bronz apt. 3/6 tesvikiye",singapore,79903,singapore,natividad,eric,medium
10287,23,116.31,9,2675.13,2019-08-30,666,shipped,classic cars,115,s12_4675,"vida sport, ltd",0897-034555,grenzacherweg 237,gensve,1203,switzerland,holz,michael,small
10300,23,122.07,2,2807.61,2018-10-04,997,shipped,classic cars,115,s12_4675,"blauer see auto, co.",+49 69 66 90 2555,lyonerstr. 34,frankfurt,60528,germany,keitel,roland,small
10310,25,100.19,7,2504.75,2019-10-16,621,shipped,classic cars,115,s12_4675,"toms spezialitten, ltd",0221-5554327,mehrheimerstr. 369,koln,50739,germany,pfalzheim,henriette,small
10321,24,124.37,15,2984.88,2019-11-04,603,shipped,classic cars,115,s12_4675,fungiftideas.com,5085552555,1785 first street,new bedford,50553,usa,benitez,violeta,small
10329,39,64.74,15,2524.86,2019-11-15,593,shipped,classic cars,115,s12_4675,land of toys inc.,2125557818,897 long airport avenue,nyc,10022,usa,yu,kwai,small
10341,55,75.2,7,4136.0,2019-11-24,585,shipped,classic cars,115,s12_4675,salzburg collectables,6562-9555,geislweg 14,salzburg,5020,austria,pipps,georg,medium
10363,46,88.45,6,4068.7,2020-01-06,543,shipped,classic cars,115,s12_4675,suominen souveniers,+358 9 8045 555,"software engineering center, sec oy",espoo,fin-02271,finland,suominen,kalle,medium
10377,50,103.64,1,5182.0,2020-02-09,510,shipped,classic cars,115,s12_4675,"toys of finland, co.",90-224 8555,keskuskatu 45,helsinki,21240,finland,karttunen,matti,medium
10389,47,111.57,8,5243.79,2020-03-03,488,shipped,classic cars,115,s12_4675,scandinavian gift ideas,0695-34 6555,?kergatan 24,boras,s-844 67,sweden,larsson,maria,medium
10405,97,93.28,5,9048.16,2020-04-14,447,shipped,classic cars,115,s12_4675,mini caravy,88.60.1555,"24, place kluber",strasbourg,67000,france,citeaux,frederique,large
10419,32,119.77,10,3832.64,2020-05-17,415,shipped,classic cars,115,s12_4675,salzburg collectables,6562-9555,geislweg 14,salzburg,5020,austria,pipps,georg,medium
10103,35,112.0,10,3920.0,2018-01-29,1255,shipped,trucks and buses,116,s18_1097,baane mini imports,07-98 9555,erling skakkes gate 78,stavern,4110,norway,bergulfsen,jonas,medium
10113,49,100.34,4,4916.66,2018-03-26,1200,shipped,trucks and buses,116,s18_1097,mini gifts distributors ltd.,4155551450,5677 strong st.,san rafael,97562,usa,nelson,valarie,medium
10126,38,101.5,10,3857.0,2018-05-28,1138,shipped,trucks and buses,116,s18_1097,"corrida auto replicas, ltd",(91) 555 22 82,"c/ araquil, 67",madrid,28023,spain,sommer,mart¡n,medium
10140,32,130.67,10,4181.44,2018-07-24,1082,shipped,trucks and buses,116,s18_1097,technics stores inc.,6505556809,9408 furth circle,burlingame,94217,usa,hirano,juri,medium
10150,34,136.5,7,4641.0,2018-09-19,1026,shipped,trucks and buses,116,s18_1097,"dragon souveniers, ltd.",+65 221 7555,"bronz sok., bronz apt. 3/6 tesvikiye",singapore,79903,singapore,natividad,eric,medium
10164,36,99.17,8,3570.12,2018-10-21,995,resolved,trucks and buses,116,s18_1097,mini auto werke,7675-3555,kirchgasse 6,graz,8010,austria,mendel,roland,medium
10174,48,93.34,3,4480.32,2018-11-06,980,shipped,trucks and buses,116,s18_1097,"australian gift network, co",61-7-3844-6555,31 duncan st. west end,south brisbane,4101,australia,calaghan,tony,medium
10183,21,96.84,7,2033.64,2018-11-13,974,shipped,trucks and buses,116,s18_1097,"classic gift ideas, inc",2155554695,782 first street,philadelphia,71270,usa,cervantes,francisca,small
10194,21,93.34,10,1960.14,2018-11-25,963,shipped,trucks and buses,116,s18_1097,"saveley & henriot, co.",78.32.5555,"2, rue du commerce",lyon,69004,france,saveley,mary,small
10206,34,116.67,5,3966.78,2018-12-05,954,shipped,trucks and buses,116,s18_1097,canadian gift exchange network,(604) 555-3392,1900 oak st.,vancouver,v3f 2k1,canada,tannamuri,yoshi,medium
10215,46,112.0,2,5152.0,2019-01-29,900,shipped,trucks and buses,116,s18_1097,west coast collectables co.,3105553722,3675 furth circle,burbank,94019,usa,thompson,steve,medium
10228,32,105.0,1,3360.0,2019-03-10,861,shipped,trucks and buses,116,s18_1097,cambridge collectables co.,6175555555,4658 baden av.,cambridge,51247,usa,tseng,kyung,medium
10245,29,119.0,8,3451.0,2019-05-04,807,shipped,trucks and buses,116,s18_1097,super scale inc.,2035559545,567 north pendale street,new haven,97823,usa,murphy,leslie,medium
10258,41,133.0,5,5453.0,2019-06-15,766,shipped,trucks and buses,116,s18_1097,"tokyo collectables, ltd",+81 3 3584 0555,2-2-8 roppongi,minato-ku,106-0032,japan,shimamura,akiko,medium
10270,43,96.84,8,4164.12,2019-07-19,733,shipped,trucks and buses,116,s18_1097,souveniers and things co.,+61 2 9495 8555,"monitor money building, 815 pacific hwy",chatswood,2067,australia,huxley,adrian,medium
10280,24,116.67,1,2800.08,2019-08-17,705,shipped,trucks and buses,116,s18_1097,amica models & co.,011-4988555,via monte bianco 34,torino,10100,italy,accorti,paolo,small
10291,41,114.34,10,4687.94,2019-09-08,684,shipped,trucks and buses,116,s18_1097,scandinavian gift ideas,0695-34 6555,?kergatan 24,boras,s-844 67,sweden,larsson,maria,medium
10304,46,98.0,5,4508.0,2019-10-11,652,shipped,trucks and buses,116,s18_1097,auto assoc. & cie.,30.59.8555,"67, avenue de l'europe",versailles,78000,france,tonini,daniel,medium
10312,32,130.67,2,4181.44,2019-10-21,643,shipped,trucks and buses,116,s18_1097,mini gifts distributors ltd.,4155551450,5677 strong st.,san rafael,97562,usa,nelson,valarie,medium
10322,22,102.32,10,2251.04,2019-11-04,630,shipped,trucks and buses,116,s18_1097,online diecast creations co.,6035558647,2304 long airport avenue,nashua,62005,usa,young,valarie,small
10347,42,49.6,5,2083.2,2019-11-29,606,shipped,trucks and buses,116,s18_1097,"australian collectors, co.",03 9520 4555,636 st kilda road,melbourne,3004,australia,ferguson,peter,small
10357,39,98.0,1,3822.0,2019-12-10,596,shipped,trucks and buses,116,s18_1097,mini gifts distributors ltd.,4155551450,5677 strong st.,san rafael,97562,usa,nelson,valarie,medium
10370,27,144.87,1,3911.49,2020-01-20,556,shipped,trucks and buses,116,s18_1097,"anna's decorations, ltd",02 9936 8555,201 miller street,north sydney,2060,australia,o'hara,anna,medium
10391,29,85.1,10,2467.9,2020-03-09,508,shipped,trucks and buses,116,s18_1097,"anna's decorations, ltd",02 9936 8555,201 miller street,north sydney,2060,australia,o'hara,anna,small
10411,27,119.0,8,3213.0,2020-05-01,456,shipped,trucks and buses,116,s18_1097,quebec home shopping network,(514) 555-8054,43 rue st. laurent,montreal,h1j 1c3,canada,fresnisre,jean,medium
10424,54,133.0,5,7182.0,2020-05-31,427,in process,trucks and buses,116,s18_1097,euro shopping channel,(91) 555 94 44,"c/ moralzarzal, 86",madrid,28034,spain,freyre,diego,large
10109,26,168.43,4,4379.18,2018-03-10,1241,shipped,classic cars,141,s18_1129,motor mint distributors inc.,2155559857,11328 douglas av.,philadelphia,71270,usa,hernandez,rosa,medium
10122,34,147.2,2,5004.8,2018-05-08,1183,shipped,classic cars,141,s18_1129,marseille mini autos,91.24.4555,"12, rue des bouchers",marseille,13008,france,lebihan,laurence,medium
10136,25,145.79,2,3644.75,2018-07-04,1127,shipped,classic cars,141,s18_1129,alpha cognac,61.77.6555,1 rue alsace-lorraine,toulouse,31000,france,roulet,annette,medium
10148,23,117.48,13,2702.04,2018-09-11,1059,shipped,classic cars,141,s18_1129,"anna's decorations, ltd",02 9936 8555,201 miller street,north sydney,2060,australia,o'hara,anna,small
10161,28,134.46,12,3764.88,2018-10-17,1024,shipped,classic cars,141,s18_1129,heintze collectables,86 21 3555,smagsloget 45,aaarhus,8200,denmark,ibsen,palle,medium
10171,35,128.8,2,4508.0,2018-11-05,1006,shipped,classic cars,141,s18_1129,quebec home shopping network,(514) 555-8054,43 rue st. laurent,montreal,h1j 1c3,canada,fresnisre,jean,medium
10181,44,123.14,6,5418.16,2018-11-12,1000,shipped,classic cars,141,s18_1129,herkku gifts,+47 2267 3215,"drammen 121, pr 744 sentrum",bergen,n 5804,norway,oeztan,veysel,medium
10192,22,150.03,11,3300.66,2018-11-20,993,shipped,classic cars,141,s18_1129,online diecast creations co.,6035558647,2304 long airport avenue,nashua,62005,usa,young,valarie,medium
10204,42,147.2,17,6182.4,2018-12-02,982,shipped,classic cars,141,s18_1129,muscle machine inc,2125557413,4092 furth circle,nyc,10022,usa,young,jeff,medium
10212,29,144.37,10,4186.73,2019-01-16,938,shipped,classic cars,141,s18_1129,euro shopping channel,(91) 555 94 44,"c/ moralzarzal, 86",madrid,28034,spain,freyre,diego,medium
10225,32,141.54,1,4529.28,2019-02-22,902,shipped,classic cars,141,s18_1129,"vida sport, ltd",0897-034555,grenzacherweg 237,gensve,1203,switzerland,holz,michael,medium
10240,41,137.29,3,5628.89,2019-04-13,853,shipped,classic cars,141,s18_1129,osaka souveniers co.,+81 06 6342 5555,"dojima avanza 4f, 1-6-20 dojima, kita-ku",osaka,530-0003,japan,kentary,mory,medium
10253,26,117.48,5,3054.48,2019-06-01,805,cancelled,classic cars,141,s18_1129,"uk collectables, ltd.",(171) 555-2282,berkeley gardens 12  brewery,liverpool,wx1 6lt,uk,devon,elizabeth,medium
10266,21,120.31,6,2526.51,2019-07-06,771,shipped,classic cars,141,s18_1129,l'ordine souveniers,0522-556555,strada provinciale 124,reggio emilia,42100,italy,moroni,maurizio,small
10278,34,137.29,6,4667.86,2019-08-06,741,shipped,classic cars,141,s18_1129,signal gift stores,7025551838,8489 strong st.,las vegas,83030,usa,king,sue,medium
